column,inferred_dtype
5984-1.70,Int64
5984-1.71,Int64
5984-1.72,Int64
5984-1.73,Int64
5984-1.74,Int64
5984-1.75,Int64
5984-1.76,Int64
5984-1.77,Int64
5984-1.78,Int64
5984-1.79,Int64
5984-1.80,Int64
5984-1.81,Int64
5984-1.82,Int64
5984-1.83,Int64
5984-1.84,Int64
5984-1.85,Int64
5984-1.86,Int64
5984-1.87,Int64
5984-1.88,Int64
5984-1.89,Int64
5984-1.90,Int64
5984-1.91,Int64
5984-1.92,Int64
5984-1.93,Int64
5984-1.94,Int64
5984-1.95,Int64
5984-1.96,Int64
5984-1.97,Int64
5984-1.98,Int64
5984-1.99,Int64
5984-1.100,Int64
5984-1.101,Int64
5984-1.102,Int64
5984-1.103,Int64
5984-1.104,Int64
5984-1.105,Int64
5984-1.106,Int64
5984-1.107,Int64
5984-1.108,Int64
5984-1.109,Int64
5984-1.110,Int64
5984-1.111,Int64
5984-1.112,Int64
5984-1.113,Int64
5985-0.0,Int64
5985-0.1,Int64
5985-0.2,Int64
5985-0.3,Int64
5985-0.4,Int64
5985-0.5,Int64
5985-0.6,Int64
5985-0.7,Int64
5985-0.8,Int64
5985-0.9,Int64
5985-0.10,Int64
5985-0.11,Int64
5985-0.12,Int64
5985-0.13,Int64
5985-0.14,Int64
5985-0.15,Int64
5985-0.16,Int64
5985-0.17,Int64
5985-0.18,Int64
5985-0.19,Int64
5985-0.20,Int64
5985-0.21,Int64
5985-0.22,Int64
5985-0.23,Int64
5985-0.24,Int64
5985-0.25,Int64
5985-0.26,Int64
5985-0.27,Int64
5985-0.28,Int64
5985-0.29,Int64
5985-0.30,Int64
5985-0.31,Int64
5985-0.32,Int64
5985-0.33,Int64
5985-0.34,Int64
5985-0.35,Int64
5985-0.36,Int64
5985-0.37,Int64
5985-0.38,Int64
5985-0.39,Int64
5985-0.40,Int64
5985-0.41,Int64
5985-0.42,Int64
5985-0.43,Int64
5985-0.44,Int64
5985-0.45,Int64
5985-0.46,Int64
5985-0.47,Int64
5985-0.48,Int64
5985-0.49,Int64
5985-0.50,Int64
5985-0.51,Int64
5985-0.52,Int64
5985-0.53,Int64
5985-0.54,Int64
5985-0.55,Int64
5985-0.56,Int64
5985-0.57,Int64
5985-0.58,Int64
5985-0.59,Int64
5985-0.60,Int64
5985-0.61,Int64
5985-0.62,Int64
5985-0.63,Int64
5985-0.64,Int64
5985-0.65,Int64
5985-0.66,Int64
5985-0.67,Int64
5985-0.68,Int64
5985-0.69,Int64
5985-0.70,Int64
5985-0.71,Int64
5985-0.72,Int64
5985-0.73,Int64
5985-0.74,Int64
5985-0.75,Int64
5985-0.76,Int64
5985-0.77,Int64
5985-0.78,Int64
5985-0.79,Int64
5985-0.80,Int64
5985-0.81,Int64
5985-0.82,Int64
5985-0.83,Int64
5985-0.84,Int64
5985-0.85,Int64
5985-0.86,Int64
5985-0.87,Int64
5985-0.88,Int64
5985-0.89,Int64
5985-0.90,Int64
5985-0.91,Int64
5985-0.92,Int64
5985-0.93,Int64
5985-0.94,Int64
5985-0.95,Int64
5985-0.96,Int64
5985-0.97,Int64
5985-0.98,Int64
5985-0.99,Int64
5985-0.100,Int64
5985-0.101,Int64
5985-0.102,Int64
5985-0.103,Int64
5985-0.104,Int64
5985-0.105,Int64
5985-0.106,Int64
5985-0.107,Int64
5985-0.108,Int64
5985-0.109,Int64
5985-0.110,Int64
5985-0.111,Int64
5985-0.112,Int64
5985-0.113,Int64
5985-1.0,Int64
5985-1.1,Int64
5985-1.2,Int64
5985-1.3,Int64
5985-1.4,Int64
5985-1.5,Int64
5985-1.6,Int64
5985-1.7,Int64
5985-1.8,Int64
5985-1.9,Int64
5985-1.10,Int64
5985-1.11,Int64
5985-1.12,Int64
5985-1.13,Int64
5985-1.14,Int64
5985-1.15,Int64
5985-1.16,Int64
5985-1.17,Int64
5985-1.18,Int64
5985-1.19,Int64
5985-1.20,Int64
5985-1.21,Int64
5985-1.22,Int64
5985-1.23,Int64
5985-1.24,Int64
5985-1.25,Int64
5985-1.26,Int64
5985-1.27,Int64
5985-1.28,Int64
5985-1.29,Int64
5985-1.30,Int64
5985-1.31,Int64
5985-1.32,Int64
5985-1.33,Int64
5985-1.34,Int64
5985-1.35,Int64
5985-1.36,Int64
5985-1.37,Int64
5985-1.38,Int64
5985-1.39,Int64
5985-1.40,Int64
5985-1.41,Int64
5985-1.42,Int64
5985-1.43,Int64
5985-1.44,Int64
5985-1.45,Int64
5985-1.46,Int64
5985-1.47,Int64
5985-1.48,Int64
5985-1.49,Int64
5985-1.50,Int64
5985-1.51,Int64
5985-1.52,Int64
5985-1.53,Int64
5985-1.54,Int64
5985-1.55,Int64
5985-1.56,Int64
5985-1.57,Int64
5985-1.58,Int64
5985-1.59,Int64
5985-1.60,Int64
5985-1.61,Int64
5985-1.62,Int64
5985-1.63,Int64
5985-1.64,Int64
5985-1.65,Int64
5985-1.66,Int64
5985-1.67,Int64
5985-1.68,Int64
5985-1.69,Int64
5985-1.70,Int64
5985-1.71,Int64
5985-1.72,Int64
5985-1.73,Int64
5985-1.74,Int64
5985-1.75,Int64
5985-1.76,Int64
5985-1.77,Int64
5985-1.78,Int64
5985-1.79,Int64
5985-1.80,Int64
5985-1.81,Int64
5985-1.82,Int64
5985-1.83,Int64
5985-1.84,Int64
5985-1.85,Int64
5985-1.86,Int64
5985-1.87,Int64
5985-1.88,Int64
5985-1.89,Int64
5985-1.90,Int64
5985-1.91,Int64
5985-1.92,Int64
5985-1.93,Int64
5985-1.94,Int64
5985-1.95,Int64
5985-1.96,Int64
5985-1.97,Int64
5985-1.98,Int64
5985-1.99,Int64
5985-1.100,Int64
5985-1.101,Int64
5985-1.102,Int64
5985-1.103,Int64
5985-1.104,Int64
5985-1.105,Int64
5985-1.106,Int64
5985-1.107,Int64
5985-1.108,Int64
5985-1.109,Int64
5985-1.110,Int64
5985-1.111,Int64
5985-1.112,Int64
5985-1.113,Int64
5986-0.0,Int64
5986-0.1,Int64
5986-0.2,Int64
5986-0.3,Int64
5986-0.4,Int64
5986-0.5,Int64
5986-0.6,Int64
5986-0.7,Int64
5986-0.8,Int64
5986-0.9,Int64
5986-0.10,Int64
5986-0.11,Int64
5986-0.12,Int64
5986-0.13,Int64
5986-0.14,Int64
5986-0.15,Int64
5986-0.16,Int64
5986-0.17,Int64
5986-0.18,Int64
5986-0.19,Int64
5986-0.20,Int64
5986-0.21,Int64
5986-0.22,Int64
5986-0.23,Int64
5986-0.24,Int64
5986-0.25,Int64
5986-0.26,Int64
5986-0.27,Int64
5986-0.28,Int64
5986-0.29,Int64
5986-0.30,Int64
5986-0.31,Int64
5986-0.32,Int64
5986-0.33,Int64
5986-0.34,Int64
5986-0.35,Int64
5986-0.36,Int64
5986-0.37,Int64
5986-0.38,Int64
5986-0.39,Int64
5986-0.40,Int64
5986-0.41,Int64
5986-0.42,Int64
5986-0.43,Int64
5986-0.44,Int64
5986-0.45,Int64
5986-0.46,Int64
5986-0.47,Int64
5986-0.48,Int64
5986-0.49,Int64
5986-0.50,Int64
5986-0.51,Int64
5986-0.52,Int64
5986-0.53,Int64
5986-0.54,Int64
5986-0.55,Int64
5986-0.56,Int64
5986-0.57,Int64
5986-0.58,Int64
5986-0.59,Int64
5986-0.60,Int64
5986-0.61,Int64
5986-0.62,Int64
5986-0.63,Int64
5986-0.64,Int64
5986-0.65,Int64
5986-0.66,Int64
5986-0.67,Int64
5986-0.68,Int64
5986-0.69,Int64
5986-0.70,Int64
5986-0.71,Int64
5986-0.72,Int64
5986-0.73,Int64
5986-0.74,Int64
5986-0.75,Int64
5986-0.76,Int64
5986-0.77,Int64
5986-0.78,Int64
5986-0.79,Int64
5986-0.80,Int64
5986-0.81,Int64
5986-0.82,Int64
5986-0.83,Int64
5986-0.84,Int64
5986-0.85,Int64
5986-0.86,Int64
5986-0.87,Int64
5986-0.88,Int64
5986-0.89,Int64
5986-0.90,Int64
5986-0.91,Int64
5986-0.92,Int64
5986-0.93,Int64
5986-0.94,Int64
5986-0.95,Int64
5986-0.96,Int64
5986-0.97,Int64
5986-0.98,Int64
5986-0.99,Int64
5986-0.100,Int64
5986-0.101,Int64
5986-0.102,Int64
5986-0.103,Int64
5986-0.104,Int64
5986-0.105,Int64
5986-0.106,Int64
5986-0.107,Int64
5986-0.108,Int64
5986-0.109,Int64
5986-0.110,Int64
5986-0.111,Int64
5986-0.112,Int64
5986-0.113,Int64
5986-1.0,Int64
5986-1.1,Int64
5986-1.2,Int64
5986-1.3,Int64
5986-1.4,Int64
5986-1.5,Int64
5986-1.6,Int64
5986-1.7,Int64
5986-1.8,Int64
5986-1.9,Int64
5986-1.10,Int64
5986-1.11,Int64
5986-1.12,Int64
5986-1.13,Int64
5986-1.14,Int64
5986-1.15,Int64
5986-1.16,Int64
5986-1.17,Int64
5986-1.18,Int64
5986-1.19,Int64
5986-1.20,Int64
5986-1.21,Int64
5986-1.22,Int64
5986-1.23,Int64
5986-1.24,Int64
5986-1.25,Int64
5986-1.26,Int64
5986-1.27,Int64
5986-1.28,Int64
5986-1.29,Int64
5986-1.30,Int64
5986-1.31,Int64
5986-1.32,Int64
5986-1.33,Int64
5986-1.34,Int64
5986-1.35,Int64
5986-1.36,Int64
5986-1.37,Int64
5986-1.38,Int64
5986-1.39,Int64
5986-1.40,Int64
5986-1.41,Int64
5986-1.42,Int64
5986-1.43,Int64
5986-1.44,Int64
5986-1.45,Int64
5986-1.46,Int64
5986-1.47,Int64
5986-1.48,Int64
5986-1.49,Int64
5986-1.50,Int64
5986-1.51,Int64
5986-1.52,Int64
5986-1.53,Int64
5986-1.54,Int64
5986-1.55,Int64
5986-1.56,Int64
5986-1.57,Int64
5986-1.58,Int64
5986-1.59,Int64
5986-1.60,Int64
5986-1.61,Int64
5986-1.62,Int64
5986-1.63,Int64
5986-1.64,Int64
5986-1.65,Int64
5986-1.66,Int64
5986-1.67,Int64
5986-1.68,Int64
5986-1.69,Int64
5986-1.70,Int64
5986-1.71,Int64
5986-1.72,Int64
5986-1.73,Int64
5986-1.74,Int64
5986-1.75,Int64
5986-1.76,Int64
5986-1.77,Int64
5986-1.78,Int64
5986-1.79,Int64
5986-1.80,Int64
5986-1.81,Int64
5986-1.82,Int64
5986-1.83,Int64
5986-1.84,Int64
5986-1.85,Int64
5986-1.86,Int64
5986-1.87,Int64
5986-1.88,Int64
5986-1.89,Int64
5986-1.90,Int64
5986-1.91,Int64
5986-1.92,Int64
5986-1.93,Int64
5986-1.94,Int64
5986-1.95,Int64
5986-1.96,Int64
5986-1.97,Int64
5986-1.98,Int64
5986-1.99,Int64
5986-1.100,Int64
5986-1.101,Int64
5986-1.102,Int64
5986-1.103,Int64
5986-1.104,Int64
5986-1.105,Int64
5986-1.106,Int64
5986-1.107,Int64
5986-1.108,Int64
5986-1.109,Int64
5986-1.110,Int64
5986-1.111,Int64
5986-1.112,Int64
5986-1.113,Int64
5987-0.0,string
5987-0.1,string
5987-0.2,string
5987-0.3,string
5987-0.4,string
5987-0.5,string
5987-0.6,string
5987-0.7,string
5987-0.8,string
5987-0.9,string
5987-0.10,string
5987-0.11,string
5987-0.12,string
5987-0.13,string
5987-0.14,string
5987-0.15,string
5987-0.16,string
5987-0.17,string
5987-0.18,string
5987-0.19,string
5987-0.20,string
5987-0.21,string
5987-0.22,string
5987-0.23,string
5987-0.24,string
5987-0.25,string
5987-0.26,string
5987-0.27,string
5987-0.28,string
5987-0.29,string
5987-0.30,string
5987-0.31,string
5987-0.32,string
5987-0.33,string
5987-0.34,string
5987-0.35,string
5987-0.36,string
5987-0.37,string
5987-0.38,string
5987-0.39,string
5987-0.40,string
5987-0.41,string
5987-0.42,string
5987-0.43,string
5987-0.44,string
5987-0.45,string
5987-0.46,string
5987-0.47,string
5987-0.48,string
5987-0.49,string
5987-0.50,string
5987-0.51,string
5987-0.52,string
5987-0.53,string
5987-0.54,string
5987-0.55,string
5987-0.56,string
5987-0.57,string
5987-0.58,string
5987-0.59,string
5987-0.60,string
5987-0.61,string
5987-0.62,string
5987-0.63,string
5987-0.64,string
5987-0.65,string
5987-0.66,string
5987-0.67,string
5987-0.68,string
5987-0.69,string
5987-0.70,string
5987-0.71,string
5987-0.72,string
5987-0.73,string
5987-0.74,string
5987-0.75,string
5987-0.76,string
5987-0.77,string
5987-0.78,string
5987-0.79,string
5987-0.80,string
5987-0.81,string
5987-0.82,string
5987-0.83,string
5987-0.84,string
5987-0.85,string
5987-0.86,string
5987-0.87,string
5987-0.88,string
5987-0.89,string
5987-0.90,string
5987-0.91,string
5987-0.92,string
5987-0.93,string
5987-0.94,string
5987-0.95,string
5987-0.96,string
5987-0.97,string
5987-0.98,string
5987-0.99,string
5987-0.100,string
5987-0.101,string
5987-0.102,string
5987-0.103,string
5987-0.104,string
5987-0.105,string
5987-0.106,string
5987-0.107,string
5987-0.108,string
5987-0.109,string
5987-0.110,string
5987-0.111,string
5987-0.112,string
5987-0.113,string
5987-1.0,string
5987-1.1,string
5987-1.2,string
5987-1.3,string
5987-1.4,string
5987-1.5,string
5987-1.6,string
5987-1.7,string
5987-1.8,string
5987-1.9,string
5987-1.10,string
5987-1.11,string
5987-1.12,string
5987-1.13,string
5987-1.14,string
5987-1.15,string
5987-1.16,string
5987-1.17,string
5987-1.18,string
5987-1.19,string
5987-1.20,string
5987-1.21,string
5987-1.22,string
5987-1.23,string
5987-1.24,string
5987-1.25,string
5987-1.26,string
5987-1.27,string
5987-1.28,string
5987-1.29,string
5987-1.30,string
5987-1.31,string
5987-1.32,string
5987-1.33,string
5987-1.34,string
5987-1.35,string
5987-1.36,string
5987-1.37,string
5987-1.38,string
5987-1.39,string
5987-1.40,string
5987-1.41,string
5987-1.42,string
5987-1.43,string
5987-1.44,string
5987-1.45,string
5987-1.46,string
5987-1.47,string
5987-1.48,string
5987-1.49,string
5987-1.50,string
5987-1.51,string
5987-1.52,string
5987-1.53,string
5987-1.54,string
5987-1.55,string
5987-1.56,string
5987-1.57,string
5987-1.58,string
5987-1.59,string
5987-1.60,string
5987-1.61,string
5987-1.62,string
5987-1.63,string
5987-1.64,string
5987-1.65,string
5987-1.66,string
5987-1.67,string
5987-1.68,string
5987-1.69,string
5987-1.70,string
5987-1.71,string
5987-1.72,string
5987-1.73,string
5987-1.74,string
5987-1.75,string
5987-1.76,string
5987-1.77,string
5987-1.78,string
5987-1.79,string
5987-1.80,string
5987-1.81,string
5987-1.82,string
5987-1.83,string
5987-1.84,string
5987-1.85,string
5987-1.86,string
5987-1.87,string
5987-1.88,string
5987-1.89,string
5987-1.90,string
5987-1.91,string
5987-1.92,string
5987-1.93,string
5987-1.94,string
5987-1.95,string
5987-1.96,string
5987-1.97,string
5987-1.98,string
5987-1.99,string
5987-1.100,string
5987-1.101,string
5987-1.102,string
5987-1.103,string
5987-1.104,string
5987-1.105,string
5987-1.106,string
5987-1.107,string
5987-1.108,string
5987-1.109,string
5987-1.110,Int64
5987-1.111,Int64
5987-1.112,Int64
5987-1.113,Int64
5988-0.0,string
5988-0.1,string
5988-0.2,string
5988-0.3,string
5988-0.4,string
5988-0.5,string
5988-0.6,string
5988-0.7,string
5988-0.8,string
5988-0.9,string
5988-0.10,string
5988-0.11,string
5988-0.12,string
5988-0.13,string
5988-0.14,string
5988-0.15,string
5988-0.16,string
5988-0.17,string
5988-0.18,string
5988-0.19,string
5988-0.20,string
5988-0.21,string
5988-0.22,string
5988-0.23,string
5988-0.24,string
5988-0.25,string
5988-0.26,string
5988-0.27,string
5988-0.28,string
5988-0.29,string
5988-0.30,string
5988-0.31,string
5988-0.32,string
5988-0.33,string
5988-0.34,string
5988-0.35,string
5988-0.36,string
5988-0.37,string
5988-0.38,string
5988-0.39,string
5988-0.40,string
5988-0.41,string
5988-0.42,string
5988-0.43,string
5988-0.44,string
5988-0.45,string
5988-0.46,string
5988-0.47,string
5988-0.48,string
5988-0.49,string
5988-0.50,string
5988-0.51,string
5988-0.52,string
5988-0.53,string
5988-0.54,string
5988-0.55,string
5988-0.56,string
5988-0.57,string
5988-0.58,string
5988-0.59,string
5988-0.60,string
5988-0.61,string
5988-0.62,string
5988-0.63,string
5988-0.64,string
5988-0.65,string
5988-0.66,string
5988-0.67,string
5988-0.68,string
5988-0.69,string
5988-0.70,string
5988-0.71,string
5988-0.72,string
5988-0.73,string
5988-0.74,string
5988-0.75,string
5988-0.76,string
5988-0.77,string
5988-0.78,string
5988-0.79,string
5988-0.80,string
5988-0.81,string
5988-0.82,string
5988-0.83,string
5988-0.84,string
5988-0.85,string
5988-0.86,string
5988-0.87,string
5988-0.88,string
5988-0.89,string
5988-0.90,string
5988-0.91,string
5988-0.92,string
5988-0.93,string
5988-0.94,string
5988-0.95,string
5988-0.96,string
5988-0.97,string
5988-0.98,string
5988-0.99,string
5988-0.100,string
5988-0.101,string
5988-0.102,string
5988-0.103,string
5988-0.104,string
5988-0.105,string
5988-0.106,string
5988-0.107,string
5988-0.108,string
5988-0.109,string
5988-0.110,string
5988-0.111,string
5988-0.112,string
5988-0.113,string
5988-1.0,string
5988-1.1,string
5988-1.2,string
5988-1.3,string
5988-1.4,string
5988-1.5,string
5988-1.6,string
5988-1.7,string
5988-1.8,string
5988-1.9,string
5988-1.10,string
5988-1.11,string
5988-1.12,string
5988-1.13,string
5988-1.14,string
5988-1.15,string
5988-1.16,string
5988-1.17,string
5988-1.18,string
5988-1.19,string
5988-1.20,string
5988-1.21,string
5988-1.22,string
5988-1.23,string
5988-1.24,string
5988-1.25,string
5988-1.26,string
5988-1.27,string
5988-1.28,string
5988-1.29,string
5988-1.30,string
5988-1.31,string
5988-1.32,string
5988-1.33,string
5988-1.34,string
5988-1.35,string
5988-1.36,string
5988-1.37,string
5988-1.38,string
5988-1.39,string
5988-1.40,string
5988-1.41,string
5988-1.42,string
5988-1.43,string
5988-1.44,string
5988-1.45,string
5988-1.46,string
5988-1.47,string
5988-1.48,string
5988-1.49,string
5988-1.50,string
5988-1.51,string
5988-1.52,string
5988-1.53,string
5988-1.54,string
5988-1.55,string
5988-1.56,string
5988-1.57,string
5988-1.58,string
5988-1.59,string
5988-1.60,string
5988-1.61,string
5988-1.62,string
5988-1.63,string
5988-1.64,string
5988-1.65,string
5988-1.66,string
5988-1.67,string
5988-1.68,string
5988-1.69,string
5988-1.70,string
5988-1.71,string
5988-1.72,string
5988-1.73,string
5988-1.74,string
5988-1.75,string
5988-1.76,string
5988-1.77,string
5988-1.78,string
5988-1.79,string
5988-1.80,string
5988-1.81,string
5988-1.82,string
5988-1.83,string
5988-1.84,string
5988-1.85,string
5988-1.86,string
5988-1.87,string
5988-1.88,string
5988-1.89,string
5988-1.90,string
5988-1.91,string
5988-1.92,string
5988-1.93,string
5988-1.94,string
5988-1.95,string
5988-1.96,string
5988-1.97,string
5988-1.98,string
5988-1.99,string
5988-1.100,string
5988-1.101,string
5988-1.102,string
5988-1.103,string
5988-1.104,string
5988-1.105,string
5988-1.106,string
5988-1.107,string
5988-1.108,string
5988-1.109,string
5988-1.110,Int64
5988-1.111,Int64
5988-1.112,Int64
5988-1.113,Int64
5991-0.0,string
5991-0.1,string
5991-0.2,string
5991-1.0,string
5991-1.1,string
5991-1.2,string
5992-0.0,Int64
5992-0.1,Int64
5992-0.2,Int64
5992-1.0,Int64
5992-1.1,Int64
5992-1.2,Int64
5993-0.0,Int64
5993-0.1,Int64
5993-0.2,Int64
5993-1.0,Int64
5993-1.1,Int64
5993-1.2,Int64
6014-0.0,Int64
6014-1.0,Int64
6015-0.0,Int64
6015-1.0,Int64
6016-0.0,Int64
6016-1.0,Int64
6017-0.0,Int64
6017-1.0,Int64
6019-0.0,Int64
6019-1.0,Int64
6020-0.0,Int64
6020-1.0,Int64
6023-0.0,string
6023-1.0,string
6024-0.0,Int64
6024-1.0,Int64
6032-0.0,Int64
6032-1.0,Int64
6033-0.0,Int64
6033-1.0,Int64
6034-0.0,Int64
6034-1.0,Int64
6038-0.0,Int64
6038-1.0,Int64
6039-0.0,Int64
6039-1.0,Int64
6119-0.0,Int64
6119-1.0,Int64
6119-2.0,Int64
6138-0.0,Int64
6138-0.1,Int64
6138-0.2,Int64
6138-0.3,Int64
6138-0.4,Int64
6138-0.5,Int64
6138-1.0,Int64
6138-1.1,Int64
6138-1.2,Int64
6138-1.3,Int64
6138-1.4,Int64
6138-1.5,Int64
6138-2.0,Int64
6138-2.1,Int64
6138-2.2,Int64
6138-2.3,Int64
6138-2.4,Int64
6138-2.5,Int64
6139-0.0,Int64
6139-0.1,Int64
6139-0.2,Int64
6139-1.0,Int64
6139-1.1,Int64
6139-1.2,Int64
6139-2.0,Int64
6139-2.1,Int64
6139-2.2,Int64
6140-0.0,Int64
6140-0.1,Int64
6140-0.2,Int64
6140-1.0,Int64
6140-1.1,Int64
6140-1.2,Int64
6140-2.0,Int64
6140-2.1,Int64
6140-2.2,Int64
6141-0.0,Int64
6141-0.1,Int64
6141-0.2,Int64
6141-0.3,Int64
6141-0.4,Int64
6141-1.0,Int64
6141-1.1,Int64
6141-1.2,Int64
6141-1.3,Int64
6141-1.4,Int64
6141-2.0,Int64
6141-2.1,Int64
6141-2.2,Int64
6141-2.3,Int64
6141-2.4,Int64
6142-0.0,Int64
6142-0.1,Int64
6142-0.2,Int64
6142-0.3,Int64
6142-0.4,Int64
6142-0.5,Int64
6142-0.6,Int64
6142-1.0,Int64
6142-1.1,Int64
6142-1.2,Int64
6142-1.3,Int64
6142-1.4,Int64
6142-1.5,Int64
6142-1.6,Int64
6142-2.0,Int64
6142-2.1,Int64
6142-2.2,Int64
6142-2.3,Int64
6142-2.4,Int64
6142-2.5,Int64
6142-2.6,Int64
6143-0.0,Int64
6143-0.1,Int64
6143-0.2,Int64
6143-0.3,Int64
6143-1.0,Int64
6143-1.1,Int64
6143-1.2,Int64
6143-1.3,Int64
6143-2.0,Int64
6143-2.1,Int64
6143-2.2,Int64
6143-2.3,Int64
6144-0.0,Int64
6144-0.1,Int64
6144-0.2,Int64
6144-0.3,Int64
6144-1.0,Int64
6144-1.1,Int64
6144-1.2,Int64
6144-1.3,Int64
6144-2.0,Int64
6144-2.1,Int64
6144-2.2,Int64
6144-2.3,Int64
6145-0.0,Int64
6145-0.1,Int64
6145-0.2,Int64
6145-0.3,Int64
6145-0.4,Int64
6145-0.5,Int64
6145-1.0,Int64
6145-1.1,Int64
6145-1.2,Int64
6145-1.3,Int64
6145-1.4,Int64
6145-1.5,Int64
6145-2.0,Int64
6145-2.1,Int64
6145-2.2,Int64
6145-2.3,Int64
6145-2.4,Int64
6145-2.5,Int64
6146-0.0,Int64
6146-0.1,Int64
6146-0.2,Int64
6146-1.0,Int64
6146-1.1,Int64
6146-1.2,Int64
6146-2.0,Int64
6146-2.1,Int64
6146-2.2,Int64
6147-0.0,Int64
6147-0.1,Int64
6147-0.2,Int64
6147-0.3,Int64
6147-0.4,Int64
6147-0.5,Int64
6147-1.0,Int64
6147-1.1,Int64
6147-1.2,Int64
6147-1.3,Int64
6147-1.4,Int64
6147-1.5,Int64
6147-2.0,Int64
6147-2.1,Int64
6147-2.2,Int64
6147-2.3,Int64
6147-2.4,Int64
6147-2.5,Int64
6148-0.0,Int64
6148-0.1,Int64
6148-0.2,Int64
6148-0.3,Int64
6148-0.4,Int64
6148-1.0,Int64
6148-1.1,Int64
6148-1.2,Int64
6148-1.3,Int64
6148-1.4,Int64
6148-2.0,Int64
6148-2.1,Int64
6148-2.2,Int64
6148-2.3,Int64
6148-2.4,Int64
6149-0.0,Int64
6149-0.1,Int64
6149-0.2,Int64
6149-0.3,Int64
6149-0.4,Int64
6149-0.5,Int64
6149-1.0,Int64
6149-1.1,Int64
6149-1.2,Int64
6149-1.3,Int64
6149-1.4,Int64
6149-1.5,Int64
6149-2.0,Int64
6149-2.1,Int64
6149-2.2,Int64
6149-2.3,Int64
6149-2.4,Int64
6149-2.5,Int64
6150-0.0,Int64
6150-0.1,Int64
6150-0.2,Int64
6150-0.3,Int64
6150-1.0,Int64
6150-1.1,Int64
6150-1.2,Int64
6150-1.3,Int64
6150-2.0,Int64
6150-2.1,Int64
6150-2.2,Int64
6150-2.3,Int64
6151-0.0,Int64
6151-0.1,Int64
6151-0.2,Int64
6151-0.3,Int64
6151-0.4,Int64
6151-0.5,Int64
6151-0.6,Int64
6151-1.0,Int64
6151-1.1,Int64
6151-1.2,Int64
6151-1.3,Int64
6151-1.4,Int64
6151-1.5,Int64
6151-1.6,Int64
6151-2.0,Int64
6151-2.1,Int64
6151-2.2,Int64
6151-2.3,Int64
6151-2.4,Int64
6151-2.5,Int64
6151-2.6,Int64
6152-0.0,Int64
6152-0.1,Int64
6152-0.2,Int64
6152-0.3,Int64
6152-0.4,Int64
6152-1.0,Int64
6152-1.1,Int64
6152-1.2,Int64
6152-1.3,Int64
6152-1.4,Int64
6152-2.0,Int64
6152-2.1,Int64
6152-2.2,Int64
6152-2.3,Int64
6152-2.4,Int64
6153-0.0,Int64
6153-0.1,Int64
6153-0.2,Int64
6153-0.3,Int64
6153-1.0,Int64
6153-1.1,Int64
6153-1.2,Int64
6153-1.3,Int64
6153-2.0,Int64
6153-2.1,Int64
6153-2.2,Int64
6153-2.3,Int64
6154-0.0,Int64
6154-0.1,Int64
6154-0.2,Int64
6154-0.3,Int64
6154-0.4,Int64
6154-0.5,Int64
6154-1.0,Int64
6154-1.1,Int64
6154-1.2,Int64
6154-1.3,Int64
6154-1.4,Int64
6154-1.5,Int64
6154-2.0,Int64
6154-2.1,Int64
6154-2.2,Int64
6154-2.3,Int64
6154-2.4,Int64
6154-2.5,Int64
6155-0.0,Int64
6155-0.1,Int64
6155-0.2,Int64
6155-0.3,Int64
6155-0.4,Int64
6155-0.5,Int64
6155-0.6,Int64
6155-1.0,Int64
6155-1.1,Int64
6155-1.2,Int64
6155-1.3,Int64
6155-1.4,Int64
6155-1.5,Int64
6155-1.6,Int64
6155-2.0,Int64
6155-2.1,Int64
6155-2.2,Int64
6155-2.3,Int64
6155-2.4,Int64
6155-2.5,Int64
6155-2.6,Int64
6156-0.0,Int64
6156-0.1,Int64
6156-0.2,Int64
6156-0.3,Int64
6156-1.0,Int64
6156-1.1,Int64
6156-1.2,Int64
6156-1.3,Int64
6156-2.0,Int64
6156-2.1,Int64
6156-2.2,Int64
6156-2.3,Int64
6157-0.0,Int64
6157-0.1,Int64
6157-0.2,Int64
6157-0.3,Int64
6157-1.0,Int64
6157-1.1,Int64
6157-1.2,Int64
6157-1.3,Int64
6157-2.0,Int64
6157-2.1,Int64
6157-2.2,Int64
6157-2.3,Int64
6158-0.0,Int64
6158-0.1,Int64
6158-0.2,Int64
6158-0.3,Int64
6158-1.0,Int64
6158-1.1,Int64
6158-1.2,Int64
6158-1.3,Int64
6158-2.0,Int64
6158-2.1,Int64
6158-2.2,Int64
6158-2.3,Int64
6159-0.0,Int64
6159-0.1,Int64
6159-0.2,Int64
6159-0.3,Int64
6159-0.4,Int64
6159-0.5,Int64
6159-0.6,Int64
6159-1.0,Int64
6159-1.1,Int64
6159-1.2,Int64
6159-1.3,Int64
6159-1.4,Int64
6159-1.5,Int64
6159-1.6,Int64
6159-2.0,Int64
6159-2.1,Int64
6159-2.2,Int64
6159-2.3,Int64
6159-2.4,Int64
6159-2.5,Int64
6159-2.6,Int64
6160-0.0,Int64
6160-0.1,Int64
6160-0.2,Int64
6160-0.3,Int64
6160-0.4,Int64
6160-1.0,Int64
6160-1.1,Int64
6160-1.2,Int64
6160-1.3,Int64
6160-1.4,Int64
6160-2.0,Int64
6160-2.1,Int64
6160-2.2,Int64
6160-2.3,Int64
6160-2.4,Int64
6162-0.0,Int64
6162-0.1,Int64
6162-0.2,Int64
6162-0.3,Int64
6162-1.0,Int64
6162-1.1,Int64
