column,inferred_dtype
102-0.1,Int64
102-1.0,Int64
102-1.1,Int64
102-2.0,Int64
102-2.1,Int64
120-0.0,Int64
120-1.0,Int64
120-2.0,Int64
129-0.0,Int64
129-1.0,Int64
129-2.0,Int64
130-0.0,Int64
130-1.0,Int64
130-2.0,Int64
132-0.0,Int64
132-1.0,Int64
132-2.0,Int64
134-0.0,Int64
134-1.0,Int64
134-2.0,Int64
135-0.0,Int64
135-1.0,Int64
135-2.0,Int64
136-0.0,Int64
136-1.0,Int64
136-2.0,Int64
137-0.0,Int64
137-1.0,Int64
137-2.0,Int64
189-0.0,Float64
191-0.0,string
396-0.1,Int64
396-0.2,Int64
396-0.3,Int64
396-1.1,Int64
396-1.2,Int64
396-1.3,Int64
396-2.1,Int64
396-2.2,Int64
396-2.3,Int64
397-0.1,Int64
397-0.2,Int64
397-1.1,Int64
397-1.2,Int64
397-2.1,Int64
397-2.2,Int64
398-0.1,Int64
398-0.2,Int64
398-0.3,Int64
398-1.1,Int64
398-1.2,Int64
398-1.3,Int64
398-2.1,Int64
398-2.2,Int64
398-2.3,Int64
399-0.1,Int64
399-0.2,Int64
399-0.3,Int64
399-1.1,Int64
399-1.2,Int64
399-1.3,Int64
399-2.1,Int64
399-2.2,Int64
399-2.3,Int64
400-0.1,Int64
400-0.2,Int64
400-0.3,Int64
400-1.1,Int64
400-1.2,Int64
400-1.3,Int64
400-2.1,Int64
400-2.2,Int64
400-2.3,Int64
401-0.0,Int64
401-0.1,Int64
401-0.2,Int64
401-0.3,Int64
401-0.4,Int64
401-0.5,Int64
401-0.6,Int64
401-0.7,Int64
401-0.8,Int64
401-0.9,Int64
401-0.10,Int64
401-0.11,Int64
401-1.0,Int64
401-1.1,Int64
401-1.2,Int64
401-1.3,Int64
401-1.4,Int64
401-1.5,Int64
401-1.6,Int64
401-1.7,Int64
401-1.8,Int64
401-1.9,Int64
401-1.10,Int64
401-1.11,Int64
401-2.0,Int64
401-2.1,Int64
401-2.2,Int64
401-2.3,Int64
401-2.4,Int64
401-2.5,Int64
401-2.6,Int64
401-2.7,Int64
401-2.8,Int64
401-2.9,Int64
401-2.10,Int64
401-2.11,Int64
402-0.0,Int64
402-0.1,Int64
402-0.2,Int64
402-0.3,Int64
402-0.4,Int64
402-0.5,Int64
402-0.6,Int64
402-0.7,Int64
402-0.8,Int64
402-0.9,Int64
402-0.10,Int64
402-0.11,Int64
402-1.0,Int64
402-1.1,Int64
402-1.2,Int64
402-1.3,Int64
402-1.4,Int64
402-1.5,Int64
402-1.6,Int64
402-1.7,Int64
402-1.8,Int64
402-1.9,Int64
402-1.10,Int64
402-1.11,Int64
402-2.0,Int64
402-2.1,Int64
402-2.2,Int64
402-2.3,Int64
402-2.4,Int64
402-2.5,Int64
402-2.6,Int64
402-2.7,Int64
402-2.8,Int64
402-2.9,Int64
402-2.10,Int64
402-2.11,Int64
403-0.0,Int64
403-0.1,Int64
403-0.2,Int64
403-0.3,Int64
403-0.4,Int64
403-0.5,Int64
403-0.6,Int64
403-0.7,Int64
403-0.8,Int64
403-0.9,Int64
403-0.10,Int64
403-0.11,Int64
403-1.0,Int64
403-1.1,Int64
403-1.2,Int64
403-1.3,Int64
403-1.4,Int64
403-1.5,Int64
403-1.6,Int64
403-1.7,Int64
403-1.8,Int64
403-1.9,Int64
403-1.10,Int64
403-1.11,Int64
403-2.0,Int64
403-2.1,Int64
403-2.2,Int64
403-2.3,Int64
403-2.4,Int64
403-2.5,Int64
403-2.6,Int64
403-2.7,Int64
403-2.8,Int64
403-2.9,Int64
403-2.10,Int64
403-2.11,Int64
404-0.0,Int64
404-0.1,Int64
404-0.2,Int64
404-0.3,Int64
404-0.4,Int64
404-0.5,Int64
404-0.6,Int64
404-0.7,Int64
404-0.8,Int64
404-0.9,Int64
404-0.10,Int64
404-0.11,Int64
404-1.0,Int64
404-1.1,Int64
404-1.2,Int64
404-1.3,Int64
404-1.4,Int64
404-1.5,Int64
404-1.6,Int64
404-1.7,Int64
404-1.8,Int64
404-1.9,Int64
404-1.10,Int64
404-1.11,Int64
404-2.0,Int64
404-2.1,Int64
404-2.2,Int64
404-2.3,Int64
404-2.4,Int64
404-2.5,Int64
404-2.6,Int64
404-2.7,Int64
404-2.8,Int64
404-2.9,Int64
404-2.10,Int64
404-2.11,Int64
670-0.0,Int64
670-1.0,Int64
670-2.0,Int64
680-0.0,Int64
680-1.0,Int64
680-2.0,Int64
699-0.0,Int64
699-1.0,Int64
699-2.0,Int64
709-0.0,Int64
709-1.0,Int64
709-2.0,Int64
728-0.0,Int64
728-1.0,Int64
728-2.0,Int64
738-0.0,Int64
738-1.0,Int64
738-2.0,Int64
757-0.0,Int64
757-1.0,Int64
757-2.0,Int64
767-0.0,Int64
767-1.0,Int64
767-2.0,Int64
777-0.0,Int64
777-1.0,Int64
777-2.0,Int64
796-0.0,Int64
796-1.0,Int64
796-2.0,Int64
806-0.0,Int64
806-1.0,Int64
806-2.0,Int64
816-0.0,Int64
816-1.0,Int64
816-2.0,Int64
826-0.0,Int64
826-1.0,Int64
826-2.0,Int64
845-0.0,Int64
845-1.0,Int64
845-2.0,Int64
864-0.0,Int64
864-1.0,Int64
864-2.0,Int64
874-0.0,Int64
874-1.0,Int64
874-2.0,Int64
884-0.0,Int64
884-1.0,Int64
884-2.0,Int64
894-0.0,Int64
894-1.0,Int64
894-2.0,Int64
